A_Lack of understanding/knowledge,"B_Shame, negative impression",C_Cost of care,D_Lack of people and channels to communicate with mental needs effectively,E_no enough attention,F_Cultural differences,G_ack of resources and help,H_important impact,I_lack of Chinese psychiatrists/psychologists,J_Privacy,K_Age influences,L_growing attention and education about this topic,M_extreme conditions and pressures imfluence people's emotional states,"N_mental dysfunction due to extreme stress not bad, as normal. live with pain",O_Seems far,Q_lack of capacity to handle stress,R_Exercise and other means are helpful,"S_Exhausted, no energy and time to consider mental health needs",T_Avoid,U_pressure coming from self-imposed expectation,V_worry about side effects of medications,W_mental_health
0.571428571,0.857142857,0.285714286,,,0.428571429,,,0.714285714,0.571428571,,,,,,,,,,,,
0.571428571,1,0.428571429,,,0.142857143,,,0.571428571,0.714285714,,,,,,,,,,,,
0.785714286,0.142857143,0.428571429,,,0.857142857,,,0.714285714,0.285714286,,,,,,,,,,,,
0.5,0.428571429,0.571428571,,,0.714285714,,,1,0.285714286,,,,,,,,,,,,
0.428571429,0.285714286,1,,,0.571428571,,,0.857142857,0.428571429,,,,,,,,,,,,
0.571428571,0.285714286,0.714285714,,,0.571428571,,,0.857142857,0.428571429,,,,,,,,,,,,
0.5,0.285714286,0.857142857,,,0.714285714,,,1,0.142857143,,,,,,,,,,,,
0.357142857,0.142857143,0.571428571,,,0.714285714,,,0.857142857,1,,,,,,,,,,,,
0.571428571,0.142857143,0.428571429,,,0.714285714,,,1,0.571428571,,,,,,,,,,,,
0.428571429,0.428571429,0.714285714,,,1,,,0.857142857,0.142857143,,,,,,,,,,,,
0.928571429,0.714285714,0.285714286,,,0.428571429,,,0.142857143,0.571428571,,,,,,,,,,,,
0.785714286,0.571428571,0.428571429,,,0.142857143,,,0.285714286,1,,,,,,,,,,,,
0.5,0.625,,,0.375,0.125,0.25,,,,,,,,,,,0.75,,,0.875,1
0.625,0.375,,,0.5,0.125,0.75,,,,,,,,,,,1,,,0.875,0.25
0.625,0.375,,,0.25,0.875,0.5,,,,,,,,,,,0.75,,,1,0.125
0.125,0.625,,,0.5,0.25,0.375,,,,,,,,,,,0.875,,,1,0.75
0.5,0.625,,,0.375,0.875,0.25,,,,,,,,,,,0.75,,,1,0.125
0.166666667,0.5,,,0.666666667,0.833333333,0.333333333,,,,,,,,,,1,,,,,
0.166666667,0.333333333,,,0.5,0.833333333,0.666666667,,,,,,,,,,1,,,,,
0.333333333,0.5,,,0.166666667,0.833333333,0.666666667,,,,,,,,,,1,,,,,
0.5,0.666666667,,,0.833333333,1,0.333333333,,,,,,,,,,0.166666667,,,,,
0.166666667,0.666666667,,,0.333333333,1,0.5,,,,,,,,,,0.833333333,,,,,
0.166666667,0.666666667,,0.5,0.833333333,,,1,,,,,,,,0.333333333,,,,,,
0.166666667,0.666666667,,0.5,1,,,0.833333333,,,,,,,,0.333333333,,,,,,
0.5,0.333333333,,1,0.666666667,,,0.166666667,,,,,,,,0.833333333,,,,,,
0.5,1,,0.333333333,0.666666667,,,0.833333333,,,,,,,,0.166666667,,,,,,
0.333333333,1,,0.5,0.833333333,,,0.666666667,,,,,,,,0.166666667,,,,,,
0.166666667,1,,0.833333333,0.5,,,0.333333333,,,,,,,,0.666666667,,,,,,
1,0.583333333,,,0.666666667,,,0.166666667,,,,,,,0.5,,,,,,,
0.833333333,0.333333333,,,0.333333333,,,1,,,,,,,0.666666667,,,,,,,
0.333333333,0.416666667,,,0.833333333,,,0.5,,,,,,,1,,,,,,,
0.166666667,0.416666667,,,1,,,0.666666667,,,,,,,0.833333333,,,,,,,
0.166666667,0.583333333,,,1,,,0.333333333,,,,,,,0.833333333,,,,,,,
0.333333333,0.666666667,,,0.166666667,,,1,,,,,,,0.666666667,,,,,,,
0.166666667,0.833333333,,,0.333333333,,,0.5,,,,,,,0.833333333,,,,,,,
0.666666667,0.25,,,0.833333333,,,1,,,,,,,0.5,,,,,,,
0.5,0.833333333,,,0.166666667,,,0.333333333,,,,,,,0.833333333,,,,,,,
0.333333333,0.833333333,,,0.166666667,,,0.833333333,,,,,,,0.5,,,,,,,
0.2,0.4,,,0.8,,1,,,,,,,,,,,,0.6,,,
0.6,0.2,,,0.8,,1,,,,,,,,,,,,0.4,,,
0.8,0.2,,,0.4,,1,,,,,,,,,,,,0.6,,,
0.2,0.6,,,0.4,,0.8,,,,,,,,,,,,1,,,
0.2,0.6,,,0.8,,0.4,,,,,,,,,,,,1,,,
0.4,0.2,,,1,,0.8,,,,,,,,,,,,0.6,,,
0.2,0.4,,,0.8,,0.6,,,,,,,,,,,,1,,,
0.625,0.25,,,0.5,,,,,,,0.875,0.75,1,,,,,,,,
0.25,0.333333333,,,0.625,,,,,,,0.75,1,0.875,,,,,,,,
0.25,0.416666667,,,0.375,,,,,,,0.875,0.75,1,,,,,,,,
0.375,0.458333333,,,0.125,,,,,,,0.75,0.875,1,,,,,,,,
0.666666667,0.166666667,,,0.333333333,,,0.5,,,0.833333333,,,,,,,,,1,,
0.333333333,0.166666667,,,1,,,0.666666667,,,0.5,,,,,,,,,0.833333333,,
1,0.166666667,,,0.5,,,0.333333333,,,0.833333333,,,,,,,,,0.666666667,,
0.166666667,0.5,,,0.333333333,,,0.833333333,,,0.666666667,,,,,,,,,1,,
0.166666667,0.5,,,0.666666667,,,1,,,0.333333333,,,,,,,,,0.833333333,,
0.333333333,0.166666667,,,0.666666667,,,1,,,0.5,,,,,,,,,0.833333333,,
